Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,BB_upper,BB_lower,Returns,Log_Returns,Volatility,Momentum,Volume_Change,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,
2020-01-31,74.53990936279297,77.71166246110458,74.24609404973549,77.29020649112265,199588400,75.25866012573242,75.85796207631307,49.36885349032506,79.07902340656,71.43829684490484,-0.04433873040314329,-0.04535174922245747,0.01767909866924839,-1.37994384765625,0.5747464163757898,-0.0027465444297112285
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,75.39388732910156,75.69490086690966,42.987458400313045,78.84738666805931,71.9403879901438,-0.0027465444297112285,-0.002750323103312609,0.017510880319433257,-2.4251785278320312,-0.1292660294886877,0.03301410072048783
2020-02-04,76.78929138183594,76.97955073635654,75.53214793796855,75.93674396942679,136616400,75.62328147888184,75.81071795448291,54.73963370148779,78.78070951783369,72.46585343992999,0.03301410072048783,0.0324808403061844,0.018807599543460826,0.54913330078125,-0.21389229660897968,0.008154058956816979
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800,75.90096015930176,75.97876236507429,57.61872431284472,78.61062528195941,73.1912950366441,0.008154058956816979,0.00812099423758807,0.018740927508514152,0.9031219482421875,-0.13021569884728335,0.01169705792729192
2020-02-06,78.32096862792969,78.32337929968051,77.12885469909907,77.68517600247516,105425600,76.16611709594727,76.22173224067315,57.52911584760478,78.72134665456605,73.6108875373285,0.01169705792729192,0.01162917617693911,0.018615967429503288,1.4401702880859375,-0.11277927201607718,-0.013592759412278888
2020-02-07,77.2563705444336,78.06989925267796,76.76632167871378,77.82125391424971,117684000,76.30049552917481,76.32815660687426,51.533770409812284,78.78369280509985,73.81729825324977,-0.013592759412278888,-0.01368598674154552,0.018515486250609305,0.5971603393554688,0.11627536385849346,0.0047495854049917074
2020-02-10,77.62330627441406,77.62330627441406,75.76450341427329,75.84416334192943,109348800,76.44479141235351,76.46036963913234,54.317923723000476,78.88048542863649,74.00909739607053,0.0047495854049917074,0.004738341712096224,0.01852614615089271,3.2182693481445312,-0.07082696033445501,-0.006033471584418804
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,76.48583450317383,76.53079442886082,51.98196714368403,78.94125963128712,74.03040937506054,-0.006033471584418804,-0.006051746518708153,0.018029897321500656,0.6450653076171875,-0.137409829828951,0.02374759415144445
2020-02-12,78.98721313476562,78.99203855171046,77.60396869052254,77.60396869052254,113730400,76.6700283050537,76.77832613444517,55.95830232883358,79.29854930080548,74.04150730930193,0.02374759415144445,0.023470006147161694,0.018406611816116514,0.8757858276367188,0.20575213733206676,-0.0071209228773230215
2020-02-13,78.42475128173828,78.75064746940821,78.05782062596876,78.26059867524006,94747600,76.84223556518555,76.94332268194685,54.89960606331358,79.45596977338505,74.22850135698604,-0.0071209228773230215,-0.007146397656633048,0.018472849643337085,0.4264984130859375,-0.16691051820797254,0.00024651510430340196
2020-02-14,78.44408416748047,78.69272952184373,77.93713525426901,78.39338411922328,80113600,76.96844711303712,77.092976722465,62.79610291295364,79.63783196501714,74.29906226105709,0.00024651510430340196,0.0002464847244477034,0.018322405377490317,3.9041748046875,-0.1544524610649769,-0.018310566132095474
2020-02-18,77.00772857666016,77.18878123005356,75.94796350927948,76.12901616267288,152531200,76.98081550598144,77.0845138043054,51.64692157845612,79.64843250328809,74.31319850867479,-0.018310566132095474,-0.018480279438350178,0.018713418232401982,2.67254638671875,0.9039364102973777,0.01448270416464692
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,77.07495803833008,77.18719486956611,50.03958762112299,79.76531636773979,74.38459970892038,0.01448270416464692,0.01437883150818787,0.01889155312274618,1.3337173461914062,-0.3838375361893174,-0.010259148206804847
2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000,77.11541900634765,77.20042942544609,47.790790756384986,79.79446525220717,74.43637276048813,-0.010259148206804847,-0.010312135985625068,0.01905993540437799,-0.093902587890625,0.07003319713993861,-0.022634934592954403
2020-02-21,75.57136535644531,77.35775721221363,74.95578935685651,76.91598466630131,129554000,77.04994735717773,77.04046401944272,53.78997067149439,79.81573251533453,74.28416219902093,-0.022634934592954403,-0.022895037155384695,0.019724705601975145,-2.749603271484375,0.2882485134140764,-0.04750057797399165
2020-02-24,71.98168182373047,73.43010258149737,69.82112528029087,71.75959476642028,222195200,76.81607093811036,76.54518291420302,43.07495032016889,80.39307710256851,73.2390647736522,-0.04750057797399165,-0.04866577877830675,0.02233785675873012,-5.274688720703125,0.7150778825817805,-0.033872003203465284
2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600,76.57299499511718,75.86150692419454,28.659672151186527,81.31188991875216,71.83410007148221,-0.033872003203465284,-0.034458951687448336,0.022637100339048283,-8.079788208007812,0.038157439944697336,0.015863817918362333
2020-02-26,70.64674377441406,71.90928692764982,69.16211349223191,69.16935530367469,198054800,76.27983703613282,75.35353507443904,30.609685518755924,81.71014158044478,70.84953249182085,0.015863817918362333,0.015739302690537242,0.021887594653122937,-6.5082244873046875,-0.14140673228319145,-0.06536829589376025
2020-02-27,66.0286865234375,69.04140503149553,65.89350114490772,67.85852928583456,320605600,75.67569999694824,74.44716726208891,20.96263866500955,82.70197726281116,68.64942273108532,-0.06536829589376025,-0.06760272664379297,0.025044941117662447,-12.958526611328125,0.618772178205224,-0.0005850127655955273
2020-02-28,65.99005889892578,67.20915102510166,61.88861568726967,62.103468343907636,426510000,75.07529029846191,73.62675202078668,22.03049734907775,83.22789109170996,66.92268950521385,-0.0005850127655955273,-0.0005851839523310217,0.025057691200057144,-12.4346923828125,0.330326107840911,0.09310072815042902
2020-03-02,72.13378143310547,72.76867383608672,67.04258234775999,68.14338175177791,341397200,74.95498390197754,73.48217652768422,39.409469089149255,83.21120506671232,66.69876273724276,0.09310072815042902,0.08901836245083954,0.032356439737599406,-6.310302734375,-0.19955639961548377,-0.031759272803348226
2020-03-03,69.84286499023438,73.3866667341741,68.99311992366323,73.30700681770827,319475600,74.7303680419922,73.13031756327051,36.82015456970764,83.29621457636146,66.16452150762292,-0.031759272803348226,-0.03227453750207096,0.033074261728472984,-7.164863586425781,-0.06421142294078563,0.04638446638594318
2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400,74.54502792358399,73.12570003453939,39.87081872741056,83.08366485809381,66.00639098907416,0.04638446638594318,0.045340856795955106,0.033955372231884474,-5.040519714355469,-0.3139432244590823,-0.032436767334776184
2020-03-05,70.71192932128906,72.31242862903635,70.3474076125405,71.33957264179317,187572800,74.20985260009766,72.89297028044813,37.54195771190077,82.8001908318071,65.61951436838822,-0.032436767334776184,-0.032974499453938905,0.03452911071464757,-6.6096038818359375,-0.14420034090950573,-0.013280351613673802
2020-03-06,69.7728500366211,70.20496434412061,67.88990577178768,68.07578380592835,226176800,73.78244667053222,72.59249045508076,36.39803806303244,82.36214458109562,65.20274875996883,-0.013280351613673802,-0.013369324084965852,0.034384405150835656,-5.798515319824219,0.20580809157830982,-0.07909184062094632
2020-03-09,64.25438690185547,67.13191312620091,63.48913439783881,63.67018706247143,286744800,73.13234748840333,71.79035329891617,32.265865924656296,82.53465934370024,63.73003563310641,-0.07909184062094632,-0.08239496607140065,0.03813918275234363,-7.727294921875,0.2677905072491962,0.07202131667591027
2020-03-10,68.88207244873047,69.14761776690831,65.02685833500999,66.9025682079639,285290000,72.69528579711914,71.51084188911388,38.293558900052965,82.03103646713888,63.359535127099406,0.07202131667591027,0.0695459474097786,0.042125774577459016,-0.6614456176757812,-0.005073500896964789,-0.034730200804983236
2020-03-11,66.48978424072266,67.88751298901103,65.62797171834961,66.96294054735044,255598800,72.16202659606934,71.02869382991298,36.80993769615695,81.64246981346747,62.681583378671206,-0.034730200804983236,-0.03534763206160988,0.042644043179406954,-4.156959533691406,-0.10407374951803428,-0.09875485215117152
2020-03-12,59.9235954284668,65.17895115078981,59.86807364961435,61.78481820985721,418474000,71.20884571075439,69.9631632304951,32.945687799954655,81.59050227916006,60.827189142348715,-0.09875485215117152,-0.10397797419904821,0.04667015461046319,-6.105091094970703,0.6372299087476154,0.1198079830228147
2020-03-13,67.10292053222656,67.57366022928257,61.06300489011421,63.94536649521935,370732000,70.6427541732788,69.68891901585957,45.0685637820235,80.59346854098874,60.69203980556887,0.1198079830228147,0.11315722687921727,0.05529854106299595,1.1128616333007812,-0.11408594082308576,-0.12864685672393272
2020-03-16,58.470340728759766,62.54281272853614,57.93683739697829,58.40757346412376,322423600,69.64406700134278,68.61395705396517,40.052902383485744,80.28350486807135,59.004629134614206,-0.12864685672393272,-0.1377079385186283,0.06163865358132356,-13.663440704345703,-0.1303054497588555,0.043970083083191724
2020-03-17,61.04128646850586,62.1879493594709,57.550590391518064,59.74977632698614,324056000,68.84574489593506,67.88876709861277,41.59304834826956,79.55458766097934,58.13690213089078,0.043970083083191724,0.04303083299927188,0.06290469004541349,-8.801578521728516,0.005062904824584713,-0.024479853804683538
2020-03-18,59.54700469970703,60.350878847985236,57.24160039100893,57.88132191691277,300233600,67.91694469451905,67.09034573126164,43.99891925492163,78.4588139708285,57.37507541820959,-0.024479853804683538,-0.02478446695865545,0.0627205613874513,-13.535484313964844,-0.07351321993729476,-0.00766225770969553
